subject,body,type,queue,priority,language,business_type
Problema crítico del servidor requiere atención inmediata,Es necesaria una investigación inmediata sobre la interrupción en el servicio de gestión de AWS que está impactando funciones comerciales esenciales.,Incident,Technical Support,high,es,IT Services
Anfrage zur Verfügbarkeit des Dell XPS 13 9310,"Sehr geehrter Kundenservice,

ich hoffe, diese E-Mail erreicht Sie wohl. Ich schreibe, um mich nach der Verfügbarkeit und den Lieferoptionen für das Dell XPS 13 9310 Ultrabook zu erkundigen. Könnten Sie mir bitte mitteilen, ob dieses Modell derzeit auf Lager ist und die geschätzte Lieferzeit zu meinem Standort? Ich bin sehr daran interessiert, es so schnell wie möglich zu kaufen.

Vielen Dank für Ihre Unterstützung.

Mit freundlichen Grüßen,
<name>",Request,Customer Service,low,de,Tech Online Store
Erro na Autocompletação de Código do IntelliJ IDEA,"Prezado Suporte ao Cliente <name>,

Estou escrevendo para trazer à sua atenção um problema recorrente com o recurso de autocompletação de código no IntelliJ IDEA 2024.1. Este problema específico faz com que o aplicativo travar frequentemente durante o desenvolvimento, o que está prejudicando significativamente minha produtividade. Cada vez que tento usar o recurso de autocompletação de código, o software fica sem resposta, levando eventualmente a um travamento. Já tentei os passos comuns de solução de problemas, como reinstalação e aplicação das atualizações mais recentes, mas o problema persiste. Agradeceria sua orientação sobre como resolver esse problema o mais rápido possível. Obrigado pela sua atenção.

Atenciosamente,
<name>",Incident,Technical Support,high,pt,IT Services
Urgent Assistance Required: AWS Service,"Dear IT Services Support Team, 

I am reaching out regarding a high-priority ticket related to our AWS Management Service. We are experiencing significant challenges in deploying services and optimizing our cloud infrastructure costs. It is crucial for us to gain clarity and efficient solutions on this matter. 

We have been noticing higher-than-expected expenditure, and the deployment process appears to have several hurdles that prevent smooth operation. As this is affecting our operational efficiency and financial planning, your expert assistance is urgently requested. 

Could you please prioritize this ticket and guide us on the best practices to streamline deployment and manage costs effectively on AWS? Your prompt response will greatly aid in mitigating potential losses and optimizing current systems. 

Thank you for your immediate attention and expertise.

Best regards, 

<name>
<acc_num>
<name@example.com>
<tel_num>",Request,IT Support,high,en,IT Services
Problème d'affichage de MacBook Air,"Cher équipe de support du magasin en ligne Tech, 

Je vous écris pour attirer votre attention sur un problème que j'ai rencontré avec mon MacBook Air M1 récemment acheté. Bien que l'appareil ait initialement répondu à ma satisfaction, j'ai remarqué que l'écran scintille occasionnellement pendant l'utilisation. Ce léger problème se produit sporadiquement et est quelque peu distrayant, notamment lorsque je me concentre sur des tâches importantes. J'ai vérifié que mon système d'exploitation est à jour et je n'ai pas apporté d'altérations non autorisées à la configuration du système. Malgré mes tentatives de dépannage, telles que la réinitialisation des paramètres d'affichage et l'assurance que tous les logiciels sont à jour, le scintillement persiste. Étant donné la réputation de votre marque pour des dispositifs de haute qualité, j'ai confiance que c'est un problème avec lequel vous pouvez m'assister. J'apprécierais des conseils sur les éventuelles solutions ou s'il serait possible d'organiser une inspection ou un remplacement si nécessaire. Mon achat a été effectué au nom de <name> le <purchase_date>. Je peux fournir le numéro de série de l'appareil si nécessaire. Veuillez m'informer des prochaines étapes que je devrais suivre. Merci pour votre attention rapide à cette affaire. 

Cordialement, 

<name>",Incident,Product Support,low,fr,Tech Online Store
Urgent: Issue with Zoom Screen Sharing Feature,"Dear Customer Support,

I am experiencing a high-priority incident wherein screen sharing fails during critical business webinar sessions using Zoom version 5.11.0. This issue is disrupting our operations and needs immediate attention.

Could you please address this matter as soon as possible or direct me to someone who can assist?

Thank you for your urgent support.

Best regards,

<name>
<acc_num>",Incident,Technical Support,high,en,IT Services
Discrepancia de facturación en Google Workspace,"Estimado equipo de soporte de TI,

Estoy escribiendo para informar un monto de facturación incorrecto en mi suscripción de Google Workspace Business Standard bajo la cuenta <acc_num>. Por favor, revise y ajuste la factura. Espero su pronta respuesta.

Saludos,

<name>",Incident,Billing and Payments,low,es,IT Services
Service outage resolution requested for ongoing issues,"Dear IT Services Customer Support,

I am writing to express our concern regarding a recent service outage that severely disrupted our regular operations. This was specifically related to the IT Consulting Service provided by your team. The interruption significantly impacted our workflow, causing delays and potential revenue loss.

To prevent similar issues in the future, we are seeking your expertise in developing and implementing comprehensive IT solutions. Considering the critical nature of our operations, it is imperative that we ensure maximum uptime and reliability from all IT-related services.

We appreciate the prompt support and preventive measures your company can offer. It would be highly beneficial to discuss possible solutions that can enhance our system's resilience and reduce vulnerability to unexpected outages.

Moreover, please let us know if there are maintenance services or upgrades that should be scheduled to optimize performance and reliability in our existing infrastructure. Kindly provide us with a detailed proposal at your earliest convenience.

Thank you for your attention to this critical matter. We look forward to your swift action and partnership to effectively resolve these issues.

Sincerely,

<name>
<tel_num>
<acc_num>",Change,Service Outages and Maintenance,high,en,IT Services
Surface Pro 7 Issue,"Dear Tech Online Store Support Team,

I hope this message finds you well. I am writing to bring to your attention a troubling issue I have been experiencing with my Microsoft Surface Pro 7. Recently, I have noticed that the screen flickers intermittently, which has been quite disruptive to my workflow.

I am unsure whether the root cause of the problem is a hardware malfunction or a software glitch, but it has persisted despite attempts to troubleshoot. Could you kindly assist by investigating what might be causing this flickering issue? Are there any known solutions or fixes I might attempt before sending the device for repair?

Your prompt assistance in resolving this matter would be greatly appreciated. Please let me know if any additional information is needed from my side.

Thank you for your attention to this issue.

Best regards,

<name>",Incident,Product Support,medium,en,Tech Online Store
Problèmes de déploiement avec les ressources AWS,"Cher équipe de support client,

J'espère que ce message vous trouve bien. Je vous contacte pour signaler un problème que nous rencontrons lors du déploiement de ressources utilisant le service de gestion AWS. Le processus de déploiement échoue de manière inattendue, causant des retards significatifs dans nos opérations. Notre équipe dépend fortement de vos services pour maintenir une productivité sans faille, et ce revers s'avère très difficile.

Pourriez-vous s'il vous plaît nous fournir des conseils sur le dépannage de ce problème de déploiement ? Nous avons veillé à ce que toutes les configurations soient réglées conformément aux directives, mais le problème persiste. Toute perspective ou assistance pas à pas pour résoudre cette affaire serait grandement appréciée.

Nous attendons avec impatience votre réponse rapide car cela impacte notre flux de travail. Si nécessaire, n'hésitez pas à me contacter au <tel_num> à votre convenance.

Merci de votre soutien.

Cordialement,

<name>",Problem,IT Support,medium,fr,IT Services
